method,n_components,algorithm,k,silhouette,dunn,wcss,ari,nmi,time
PCA_full,6,PCA_full,2,0.26801820099911255,0.019474445398443705,10989.256987022894,0.19850435187090196,0.30314614342986157,0.018045425415039062
PCA_full,6,PCA_full,3,0.22485052165392413,0.008255075755247431,9588.636570407096,0.28080425285541344,0.4393859132685782,0.03134751319885254
PCA_full,6,PCA_full,4,0.2322189143672595,0.007300646742769693,8418.381541901526,0.29196523043542316,0.452182013865315,0.029445648193359375
PCA_full,6,PCA_full,5,0.24178847243788754,0.01007350197182392,7400.430826246138,0.29865291545382083,0.45456149297727744,0.030805587768554688
PCA_full,6,PCA_full,6,0.2428066677963587,0.01007350197182392,6554.947274084955,0.2476762399524691,0.4323498211992849,0.03638315200805664
PCA_full,6,PCA_full,7,0.2618147643577948,0.01007350197182392,5897.971057155283,0.26033840929976587,0.47399776298193097,0.03859591484069824
PCA_full,6,PCA_full,8,0.29216772407793334,0.011040688331893084,5310.352626350306,0.2224125639743358,0.43469151758496705,0.036208391189575195
PCA_full,7,PCA_full,2,0.25351478489039436,0.018113870110933763,12218.099495107428,0.19850435187090196,0.30314614342986157,0.017564773559570312
PCA_full,7,PCA_full,3,0.19640196971374477,0.008404232555271517,10820.253226614948,0.3381721688909701,0.4681994241443141,0.033063411712646484
PCA_full,7,PCA_full,4,0.21444699600856187,0.007589391663079396,9612.081648345182,0.260103436023635,0.41185177526481626,0.02663731575012207
PCA_full,7,PCA_full,5,0.22295192217633542,0.008329934675359538,8522.391518149594,0.26752664542357985,0.4115140637970242,0.028905868530273438
PCA_full,7,PCA_full,6,0.23359952558201472,0.009685811029777149,7689.867937669448,0.20637732506643047,0.37415301970027814,0.027837514877319336
PCA_full,7,PCA_full,7,0.24066857472579495,0.009918881196457474,7000.8178017155515,0.20818426659163083,0.4273119503898353,0.03161501884460449
PCA_full,7,PCA_full,8,0.26978888706124926,0.00979919193972972,6386.992393153083,0.18641023722218064,0.4068739550648247,0.03902435302734375
PCA_full,8,PCA_full,2,0.24806736427195095,0.017097700359863053,13319.471964369211,0.18293789086742732,0.28813998239806937,0.024832963943481445
PCA_full,8,PCA_full,3,0.1707539779434435,0.007894195687875208,11926.681657787487,0.3191425841891569,0.44871197344427066,0.030784130096435547
PCA_full,8,PCA_full,4,0.20025940075197612,0.00742850555501957,10707.003538432424,0.26752664542357985,0.41151406379702427,0.027901649475097656
PCA_full,8,PCA_full,5,0.21063037956041172,0.00792037321293236,9597.253617137836,0.2822942533787496,0.42648515168453416,0.03152728080749512
PCA_full,8,PCA_full,6,0.22109741987629883,0.008969846190560205,8736.733394602023,0.20637732506643047,0.3741530197002781,0.029441356658935547
PCA_full,8,PCA_full,7,0.22416316224051158,0.02272304736587342,7902.156871594079,0.2187121848440414,0.40449618739732474,0.03693842887878418
PCA_full,8,PCA_full,8,0.24211589910933315,0.02218360890744458,7374.161810499164,0.24660040017380203,0.4364198741241448,0.04701662063598633
PCA_full,9,PCA_full,2,0.24238360081471186,0.01703746368223594,14265.709401616745,0.18293789086742732,0.28813998239806937,0.01812887191772461
PCA_full,9,PCA_full,3,0.1968651605430997,0.021478603709827772,12843.21494312741,0.28080425285541344,0.4393859132685782,0.025777339935302734
PCA_full,9,PCA_full,4,0.19218837515937057,0.0074143278733441245,11645.591427372676,0.2822942533787496,0.42648515168453416,0.026639938354492188
PCA_full,9,PCA_full,5,0.20319243873106188,0.016893234656812764,10551.786918974789,0.2690059702866323,0.44069686696545146,0.03278803825378418
PCA_full,9,PCA_full,6,0.1948451580582075,0.008110633832396116,9658.306028675246,0.20523098846875318,0.401326199626216,0.030866384506225586
PCA_full,9,PCA_full,7,0.2250515781606371,0.00803996149581052,8922.010743190938,0.16965194536864014,0.3857004730206304,0.03793907165527344
PCA_full,9,PCA_full,8,0.23256241807110573,0.008110633832396116,8139.141507490085,0.18576363446037894,0.40122690012902135,0.031891584396362305
PCA_full,10,PCA_full,2,0.2344904945972037,0.016044723220830077,15113.414354699822,0.18293789086742732,0.28813998239806937,0.016530513763427734
PCA_full,10,PCA_full,3,0.1821970309307352,0.021812205571666674,13688.473493533165,0.27137217748302545,0.42473529867605336,0.01968097686767578
