Method,n_components,k_clusters,Silhouette,Dunn_Index
SRP,7,7,0.19705792697060498,0.012595689484808123
SRP,7,8,0.2001841295619647,0.017039826853305167
PCA_full,8,2,0.24806736427195095,0.017097700359863053
PCA_full,8,3,0.1707539779434435,0.007894195687875208
PCA_full,8,4,0.20025940075197612,0.00742850555501957
PCA_full,8,5,0.21063037956041172,0.00792037321293236
PCA_full,8,6,0.22109741987629883,0.008969846190560205
PCA_full,8,7,0.22416316224051158,0.02272304736587342
PCA_full,8,8,0.24211589910933315,0.02218360890744458
PCA_randomized,8,2,0.2480602318902777,0.01707468831868681
PCA_randomized,8,3,0.17076351648984198,0.007899298165468862
PCA_randomized,8,4,0.20029741559762795,0.007432510104668092
PCA_randomized,8,5,0.2106620170305757,0.007925349969078415
PCA_randomized,8,6,0.22112527957203976,0.00897508141888032
PCA_randomized,8,7,0.22416752311583085,0.022724500500121748
PCA_randomized,8,8,0.2361903554276965,0.023076394561621853
GRP,8,2,0.22665501100484042,0.012873060946330806
GRP,8,3,0.22452278122411465,0.009014961766350593
GRP,8,4,0.23253085364484485,0.01248398294742729
GRP,8,5,0.2101896546860127,0.020528624300209092
GRP,8,6,0.22400614177277933,0.019640104384150453
GRP,8,7,0.22698130065514796,0.020528624300209092
GRP,8,8,0.2368892224915158,0.02327668007880729
SRP,8,2,0.2827244672388831,0.02447676985339488
SRP,8,3,0.26158266534803604,0.029968166772882724
SRP,8,4,0.19657647115433988,0.023247679183422534
SRP,8,5,0.17692905513937296,0.011760213862109414
SRP,8,6,0.18568707277485622,0.011669481480388228
SRP,8,7,0.17841026210316493,0.02570324097673466
SRP,8,8,0.1819820183134579,0.020182604595311973
PCA_full,9,2,0.24238360081471186,0.01703746368223594
PCA_full,9,3,0.1968651605430997,0.021478603709827772
PCA_full,9,4,0.19218837515937057,0.0074143278733441245
PCA_full,9,5,0.20319243873106188,0.016893234656812764
PCA_full,9,6,0.1948451580582075,0.008110633832396116
PCA_full,9,7,0.2250515781606371,0.00803996149581052
PCA_full,9,8,0.23256241807110573,0.008110633832396116
PCA_randomized,9,2,0.24238357771455762,0.017037468026164442
PCA_randomized,9,3,0.19686498518923962,0.021478595473963177
PCA_randomized,9,4,0.19218827804476946,0.007414349826358375
PCA_randomized,9,5,0.20319227936582082,0.016893120137099617
PCA_randomized,9,6,0.19484509910822964,0.008110655413068163
